name,lat,lon,coord_source,address,suburb_dir,facilities,park_id_dir,division,suburb,hierarchy,function,embellishment,status,lps_zone,parcels,area_sqm
Kokoda Park,-27.713771,153.202126,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,4,existing,Centre,1.0,502.0
Kookaburra Park,-27.6276321411133,153.119720458984,directory point,"Park Road, Slacks Creek",Slacks Creek,"playground,toilets,picnic_area",206.0,3,SLACKS CREEK,Local,Recreation,1,existing,Recreation and Open Space,6.0,7086.0
Koolan Park,-27.6448211669922,153.176971435547,directory point,"Koolan Crescent, Shailer Park",Shailer Park,"playground,basketball,picnic_area",207.0,3,SHAILER PARK,Ecologically Sig,Natural Areas,2,existing,Environmental Management and Conservation,2.0,15909.0
Kruger Park,-27.681375,153.231235,polygon centroid,,,,,10,CARBROOK,Corridor,Recreation,0,existing,Environmental Management and Conservation,1.0,17209.0
Kruger Park Extension,-27.686507,153.242099,polygon centroid,,,,,10,CARBROOK,Corridor,Recreation,0,existing,Environmental Management and Conservation,1.0,11479.0
Kurrajong Park,-27.845358,153.029595,polygon centroid,,,,,9,JIMBOOMBA,District,Sport,2,existing,Recreation and Open Space,1.0,101835.0
Lagoon Park,-27.751957,152.91914,polygon centroid,,,,,11,NEW BEITH,Local,Recreation,,existing,Park Residential,2.0,30904.0
Lake Breeze Park,-27.6860160827637,153.169906616211,directory point,"River Park Drive, Loganholme",Loganholme,"playground,bbq_wood,picnic_area",208.0,10,LOGANHOLME,Corridor,Recreation,2,Investigation,Low Density Residential,5.0,136013.0
Lake Dennis,-27.6257610321045,153.152908325195,directory point,"Lawnton Street, Daisy Hill",Daisy Hill,,209.0,3,DAISY HILL,,Other,0,existing,Environmental Management and Conservation,1.0,34126.0
Lakeview Park,-27.6942310333252,153.112640380859,directory point,"Lakeview Drive, Logan Reserve",Logan Reserve,"basketball,picnic_area",210.0,8,LOGAN RESERVE,Local,Recreation,2,existing,Recreation and Open Space,1.0,4929.0
Lancaster Park,-27.6781196594238,153.12060546875,directory point,"Chambers Flat Road, Waterford West",Waterford West,"ideal_wedding_location,bbq_electric,playground,toilets,wheelchair_toilets,picnic_area",211.0,5,WATERFORD WEST,Local,Recreation,1,existing,Recreation and Open Space,1.0,9410.0
Landra Park,-27.6322154998779,153.14274597168,directory point,"Landra Court, Springwood",Springwood,"playground,fitness_equipment,picnic_area",212.0,1,SPRINGWOOD,Local,Recreation,2,existing,Recreation and Open Space,1.0,9524.0
Langford Park,-27.6046848297119,153.134552001953,directory point,"Brompton Street, Rochedale South",Rochedale South,"playground,picnic_area",213.0,1,ROCHEDALE SOUTH,Minor,Recreation,4,existing,Recreation and Open Space,1.0,1411.0
Lansdown Park,-27.6879749298096,153.122131347656,directory point,"32-40 Lansdown Road, Waterford West",Waterford West,"playground,picnic_area",214.0,5,WATERFORD WEST,Local,Recreation,2,existing,Recreation and Open Space,4.0,5682.0
Larry Storey Park,-27.6920032501221,153.140029907227,directory point,"74 Albert Street, Waterford",Waterford,"playground,toilets,boat_ramp,waterfront,picnic_area",215.0,4,WATERFORD,District,Recreation,3,existing,Recreation and Open Space,6.0,70848.0
Laughlin Park,-27.6864967346191,153.120162963867,directory point,"51-53 Logan Reserve Road, Waterford West",Waterford West,picnic_area,216.0,5,WATERFORD WEST,Minor,Recreation,4,existing,Recreation and Open Space,2.0,1357.0
Laurina Park Drive,-27.901001,153.066878,polygon centroid,,,,,9,MUNDOOLUN,Local,Recreation,0,existing,Environmental Management and Conservation,1.0,24257.0
Lavelle Park,-27.727180480957,152.96305847168,directory point,"17 Argyle Road, Greenbank",Greenbank,"playground,toilets,bbq_wood,picnic_area",217.0,11,GREENBANK,District,Sport,2,existing,Priority Development Area,2.0,106728.0
Lawrence Park,-27.681304,153.225411,polygon centroid,,,,,12,EAGLEBY,Corridor,Recreation,4,existing,,1.0,128.0
Leaf Park,-27.741926,152.988208,polygon centroid,,,,,11,GREENBANK,Local,Recreation,,existing,PDA,1.0,5011.0
Leawarra Park,-27.6797828674316,153.185592651367,directory point,"Garrima Drive, Loganholme",Loganholme,"bbq_electric,picnic_area",218.0,10,LOGANHOLME,Local,Recreation,2,existing,Recreation and Open Space,1.0,6555.0
Leighton Fields,-27.6992645263672,153.170989990234,directory point,"10 Loane Drive, Edens Landing",Edens Landing,"bbq_electric,playground,fitness_equipment,skate_facilities",219.0,6,EDENS LANDING,District,Sport,2,existing,Recreation and Open Space,2.0,21526.0
Lennon Drive Reserve,-27.749393,153.187862,polygon centroid,,,,,4,WINDAROO,Local,Recreation,4,existing,Recreation and Open Space,1.0,4694.0
Lennons Park,-27.7013092041016,153.023101806641,directory point,"Lennons Road, Greenbank",Greenbank,"playground,fitness_equipment,bbq_wood,picnic_area",220.0,11,GREENBANK,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,4.0,77774.0
Leslie Park,-27.6543960571289,153.158462524414,directory point,"Leslie Parade, Slacks Creek",Slacks Creek,"playground,picnic_area",221.0,3,SLACKS CREEK,Local,Recreation,3,future,LD RES - Suburban,4.0,5976.0
Lima Park,-27.7106800079346,153.177627563477,directory point,"151 Logan River Road, Holmview",Holmview,"playground,picnic_area",222.0,6,HOLMVIEW,Landscape Amenit,Natural Areas,3,existing,Environmental Management and Conservation,3.0,127408.0
Lincoln Green Park,-27.6621837615967,153.010757446289,directory point,"Lincoln Green Drive, Forestdale",Forestdale,"bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,bbq_wood,picnic_area",223.0,7,FORESTDALE,District,Recreation,3,existing,Multiple Zones,1.0,44869.0
Lions Park,-27.7186946868896,153.197769165039,directory point,"James Street, Beenleigh",Beenleigh,picnic_area,224.0,12,BEENLEIGH,,Other,0,existing,Centre,1.0,747.0
Lions Riverside Park,-27.8197116851807,153.00309753418,directory point,"Cusack Lane, Jimboomba",Jimboomba,"toilets,picnic_area",225.0,9,RIVERBEND,Local,Recreation,3,existing,,1.0,18255.0
Lissadell Park,-27.6550197601318,153.188583374023,directory point,"Lissadell Street, Shailer Park",Shailer Park,"playground,picnic_area",226.0,10,SHAILER PARK,Local,Recreation,2,existing,Recreation and Open Space,1.0,6934.0
Lobelia Park,-27.6406192779541,153.148101806641,directory point,"Lobelia Avenue, Daisy Hill",Daisy Hill,"playground,picnic_area",227.0,3,DAISY HILL,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,4.0,28366.0
Loffs Road Power Easement,-27.698027,153.177791,polygon centroid,,,,,10,LOGANHOLME,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,4014.0
Logan Gardens,-27.6474761962891,153.103546142578,directory point,"Civic Parade, Logan Central",Logan Central,"ideal_wedding_location,dog_off-leash_area,bbq_electric,playground,toilets,disc_golf,fitness_equipment,bike_track,walking_track,bocce,picnic_area",228.0,2,LOGAN CENTRAL,Metropolitan,Recreation,1,existing,Recreation and Open Space,10.0,168524.0
Logan Metro Sport Park,-27.670454,153.071885,polygon centroid,,,,,8,HERITAGE PARK,District,Sport,1,existing,Recreation and Open Space,4.0,865408.0
Logan North Aquatic & Fitness Centre,-27.610653,153.117965,polygon centroid,,,,,3,UNDERWOOD,District,Sport,4,existing,Community Facilities,1.0,26455.0
Logan Reserve Riverside Park,-27.718391,153.121849,polygon centroid,,,,,8,LOGAN RESERVE,Corridor,Recreation,,existing,EMERGING COMMUNITY,4.0,0.0
Logan River Kiewa Drive,-27.695926,153.16965,polygon centroid,,,,,10,LOGANHOLME,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,8144.0
Logan River Parklands,-27.6987609863281,153.193115234375,directory point,"Pacific Highway, Beenleigh",Beenleigh,"dog_off-leash_area,bbq_electric,playground,toilets,boat_ramp,fitness_equipment,waterfront,fishing_pontoon,picnic_area,volleyball",229.0,12,EAGLEBY,Metropolitan,Recreation,1,existing,Recreation and Open Space,3.0,200885.0
Logan West Parklands,-27.703776,153.035225,polygon centroid,,,,,11,GREENBANK,Metropolitan,Recreation,0,existing,Multiple Zones,4.0,307326.0
Loganholme Water Treatment Corridor,-27.68832,153.201574,polygon centroid,,,,,10,LOGANHOLME,Corridor,Recreation,0,existing,Multiple Zones,4.0,55828.0
Loganlea Picnic Grounds,-27.6543350219727,153.14680480957,directory point,"Golf Course Drive, Meadowbrook",Meadowbrook,"bbq_electric,playground,toilets,bbq_wood,picnic_area",230.0,6,MEADOWBROOK,District,Sport,3,existing,Recreation and Open Space,3.0,79795.0
Loganview Park,-27.725523,153.104469,polygon centroid,,,,,8,LOGAN RESERVE,Local,Recreation,4,existing,Recreation and Open Space,2.0,29495.0
Longbow Park,-27.653932,152.988712,polygon centroid,,,,,7,FORESTDALE,Local,Recreation,4,existing,Recreation and Open Space,2.0,13842.0
Lowe Oval,-27.609276,153.118301,polygon centroid,,,,,3,UNDERWOOD,District,Sport,2,existing,Recreation and Open Space,2.0,34655.0
Luscombe Park,-27.796679,153.175606,polygon centroid,,,,,4,WOLFFDENE,Corridor,Recreation,0,existing,Environmental Management and Conservation,1.0,14133.0
Lyra Park,-27.6683082580566,153.039566040039,directory point,"Lyra Court, Regents Park",Regents Park,picnic_area,231.0,7,REGENTS PARK,Local,Recreation,3,existing,Recreation and Open Space,1.0,3859.0
Lyrebird Park,-27.6823635101318,153.134628295898,directory point,"Lyrebird Street, Loganlea",Loganlea,playground,232.0,6,LOGANLEA,Local,Recreation,4,existing,Recreation and Open Space,1.0,2788.0
Maas Park,-27.6840877532959,153.121459960938,directory point,"Kingston Road, Waterford West",Waterford West,playground,233.0,5,WATERFORD WEST,Local,Recreation,3,existing,Recreation and Open Space,1.0,2667.0
Mabel Park,-27.641508102417,153.129959106445,directory point,"Paradise Road, Slacks Creek",Slacks Creek,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,picnic_area,volleyball",234.0,3,SLACKS CREEK,District,Recreation,1,existing,Recreation and Open Space,8.0,49498.0
Maclean Park,-27.785249710083,153.008193969727,directory point,"29 Casuarina Road, South Maclean",South Maclean,"bbq_wood,picnic_area",235.0,9,SOUTH MACLEAN,Local,Recreation,4,existing,Recreation and Open Space,1.0,45056.0
Magellan Park,-27.6296710968018,153.138092041016,directory point,"Raleigh Street, Springwood",Springwood,"bbq_electric,playground,picnic_area",236.0,1,SPRINGWOOD,Local,Recreation,2,existing,Recreation and Open Space,1.0,11536.0
Malling Park,-27.713659286499,153.123825073242,directory point,"2 Dairy Creek Road, Waterford",Waterford,playground,237.0,4,WATERFORD,District,Sport,3,existing,Recreation and Open Space,2.0,68601.0
Mandew Park,-27.6565208435059,153.174377441406,directory point,"Mandew Street, Shailer Park",Shailer Park,"playground,fitness_equipment",238.0,10,SHAILER PARK,Local,Recreation,2,existing,Recreation and Open Space,1.0,11196.0
Manning Park,-27.828102,153.035953,polygon centroid,,,,,9,JIMBOOMBA,Local,Recreation,0,existing,Recreation and Open Space,2.0,10503.0
Marilyn Davies Park,-27.7174034118652,153.190475463867,directory point,"13 Adelaide Circuit, Beenleigh",Beenleigh,"playground,picnic_area",239.0,12,BEENLEIGH,Local,Recreation,3,existing,Recreation and Open Space,1.0,2924.0
Marion Park,-27.8668365478516,152.964538574219,directory point,"Marion Road, Cedar Grove",Cedar Grove,"playground,picnic_area",240.0,9,CEDAR GROVE,Local,Recreation,4,existing,Recreation and Open Space,3.0,40460.0
Marsden Park,-27.6710739135742,153.091659545898,directory point,"Third Avenue, Marsden",Marsden,"dog_off-leash_area,playground,toilets,picnic_area",241.0,5,MARSDEN,Local,Recreation,1,existing,Recreation and Open Space,3.0,21881.0
Marshall Park,-27.6502056121826,153.125106811523,directory point,"Duke Street, Kingston",Kingston,"playground,picnic_area",242.0,3,SLACKS CREEK,Minor,Recreation,3,existing,Recreation and Open Space,1.0,1790.0
Martens Street Rail Reserve,-27.726141,153.219034,polygon centroid,,,,,12,MOUNT WARREN PARK,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,8173.0
Mary Huntress Park,-27.6529293060303,153.110885620117,directory point,"Jacaranda Avenue, Logan Central",Logan Central,"playground,picnic_area",243.0,2,LOGAN CENTRAL,Local,Recreation,3,existing,Recreation and Open Space,1.0,1670.0
Maryfields Park,-27.6599674224854,153.097854614258,directory point,"Velorum Drive, Kingston",Kingston,playground,244.0,2,KINGSTON,Local,Recreation,3,existing,Recreation and Open Space,1.0,2694.0
Maurice Park,-27.704513,153.229959,polygon centroid,,,,,12,EAGLEBY,Local,Recreation,4,existing,Recreation and Open Space,2.0,11831.0
Mayes Park,-27.6471424102783,153.109649658203,directory point,"Mayes Ave, Kingston",Kingston,"playground,picnic_area",245.0,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,1.0,4847.0
McKinnon Sports Park South,-27.813204,153.116279,polygon centroid,,,,,4,YARRABILBA,Metropolitan,Sport,,existing,Priority Development Area,1.0,115176.0
Meakin Park,-27.6466102600098,153.137481689453,directory point,"Meakin Road, Slacks Creek",Slacks Creek,"playground,toilets,fitness_equipment,basketball,bmx",246.0,3,SLACKS CREEK,Ecologically Sig,Natural Areas,4,existing,Environmental Management and Conservation,10.0,732245.0
Merv & Ollie Musch Park,-27.76393,153.116856,polygon centroid,,,,,4,LOGAN VILLAGE,District,Sport,4,existing,Recreation and Open Space,1.0,122850.0
Michelle Johnston Park,-27.6579742431641,153.062271118164,directory point,"Wembley Road, Browns Plains",Browns Plains,"playground,bbq_wood,picnic_area",247.0,7,BROWNS PLAINS,Local,Recreation,4,future,Low Density Residential,4.0,23519.0
Middle Park,-27.6791076660156,153.017761230469,directory point,"Kunzea Road, Boronia Heights",Boronia Heights,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,basketball,bmx,picnic_area",248.0,7,HILLCREST,District,Recreation,1,existing,Recreation and Open Space,3.0,54801.0
Mikaella Park,-27.718664,153.11807,polygon centroid,,,,,8,LOGAN RESERVE,Local,Recreation,,existing,EMERGING COMMUNITY,1.0,0.0
Mikaga Park,-27.6201648712158,153.102493286133,directory point,"Mikaga Court, Woodridge",Woodridge,"playground,picnic_area",249.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,4.0,15101.0
Miller Park,-27.766442,153.04951,polygon centroid,,,,,9,CHAMBERS FLAT,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,70041.0
Millwood Park,-27.6809768676758,153.057846069336,directory point,"30 Millwood Street, Heritage Park",Heritage Park,"playground,fitness_equipment,picnic_area",250.0,8,HERITAGE PARK,Landscape Amenit,Natural Areas,2,existing,Recreation and Open Space,3.0,14784.0
Mitchell Park,-27.6911182403564,153.011520385742,directory point,"Mitchell Street, Boronia Heights",Boronia Heights,playground,251.0,7,BORONIA HEIGHTS,Local,Recreation,3,existing,Recreation and Open Space,2.0,4596.0
Moreland Park,-27.6219539642334,153.129211425781,directory point,"Wenlock Crescent, Springwood",Springwood,"bbq_wood,picnic_area",252.0,1,SPRINGWOOD,Local,Recreation,3,existing,Recreation and Open Space,2.0,9612.0
Morgan Park,-27.638111114502,153.101806640625,directory point,"Railway Parade, Woodridge",Woodridge,"bbq_electric,playground,picnic_area",253.0,2,WOODRIDGE,Local,Recreation,3,existing,Recreation and Open Space,1.0,2895.0
Mountain View Park,-27.6014251708984,153.131881713867,directory point,"17 Deen Street, Rochedale South",Rochedale South,"playground,picnic_area",254.0,1,ROCHEDALE SOUTH,Local,Recreation,2,existing,Recreation and Open Space,1.0,12569.0
Moxey Park,-27.6794738769531,153.092788696289,directory point,"Second Avenue, Marsden",Marsden,"playground,basketball,picnic_area",255.0,5,MARSDEN,Local,Recreation,2,existing,Recreation and Open Space,3.0,10869.0
Mt Warren Oval,-27.738548,153.203962,polygon centroid,,,,,12,MOUNT WARREN PARK,Local,Recreation,0,Investigation,Low Density Residential,6.0,156971.0
Mt Warren Oval Park,-27.7375984191895,153.19938659668,directory point,"30 Yvonne Crescent, Mount Warren Park",Mount Warren Park,"fitness_equipment,basketball,picnic_area",256.0,,,,,,,,,
Mt Warren Sports Centre,-27.722394,153.196456,polygon centroid,,,,,12,MOUNT WARREN PARK,District,Sport,0,existing,Recreation and Open Space,2.0,22315.0
Mundoolun Park,-27.8788681030273,153.071960449219,directory point,"Mundoolun Road, Mundoolun",Mundoolun,"bbq_electric,bmx,picnic_area",257.0,9,MUNDOOLUN,Metropolitan,Recreation,3,existing,Recreation and Open Space,3.0,237421.0
NEUMANN PARK,-27.814776,153.132691,polygon centroid,,,,,4,YARRABILBA,Local,Recreation,,existing,PDA - Priority Development Area,2.0,0.0
Nealdon Park,-27.6571140289307,153.128372192383,directory point,"Meakin Road, Meadowbrook",Meadowbrook,bmx,259.0,2,KINGSTON,Ecologically Sig,Natural Areas,4,existing,Environmental Management and Conservation,17.0,381471.0
Newstead Park,-27.7293243408203,153.114959716797,directory point,"Weaber Road, Buccan",Buccan,"playground,toilets,bbq_wood,picnic_area",260.0,4,BUCCAN,District,Sport,1,existing,Recreation and Open Space,6.0,252322.0
Nexus Forest Park,-27.704715,153.164255,polygon centroid,,,,,6,EDENS LANDING,Landscape Amenit,Natural Areas,4,existing,Environmental Management and Conservation,3.0,71116.0
Nexus Reserve,-27.7058448791504,153.164810180664,directory point,"Overland Drive, Edens Landing",Edens Landing,"bbq_electric,picnic_area",261.0,,,,,,,,,
Nicolis Court Park,-27.7187366485596,153.180023193359,directory point,"47A Nicolis Court, Beenleigh",Beenleigh,playground,262.0,12,BEENLEIGH,Minor,Recreation,4,existing,Recreation and Open Space,1.0,775.0
Noffke Farm Park,-27.677307,153.150967,polygon centroid,,,,,6,MEADOWBROOK,District,Sport,2,existing,Recreation and Open Space,3.0,100809.0
Noffke Park (Bethania),-27.6856479644775,153.156600952148,directory point,"88-118 Station Road, Bethania",Bethania,"bbq_electric,toilets,fitness_equipment,picnic_area",263.0,6,BETHANIA,Local,Recreation,0,future,Low Density Residential,2.0,42793.0
Noyer Park,-27.7371311187744,153.195022583008,directory point,"175 Beaudesert-Beenleigh Road, Mount Warren Park",Mount Warren Park,"dog_off-leash_area,playground,toilets,picnic_area",264.0,12,MOUNT WARREN PARK,District,Sport,2,existing,Recreation and Open Space,2.0,85611.0
Nyanza Park,-27.6216335296631,153.099639892578,directory point,"Nyanza Street, Woodridge",Woodridge,"playground,picnic_area",265.0,2,WOODRIDGE,Local,Recreation,4,existing,Recreation and Open Space,1.0,1683.0
Nygaard Park,-27.6242179870605,153.124542236328,directory point,"Nygaard Street, Slacks Creek",Slacks Creek,picnic_area,266.0,3,SLACKS CREEK,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,4.0,34189.0
O'Malley Park,-27.6708831787109,153.13444519043,directory point,"O'Malley Street, Loganlea",Loganlea,picnic_area,267.0,6,LOGANLEA,Local,Recreation,4,existing,Recreation and Open Space,1.0,3985.0
Oakdale Park,-27.6625366210938,153.057464599609,directory point,"Browns Plains Road, Browns Plains",Browns Plains,dog_off-leash_area,268.0,7,BROWNS PLAINS,Local,Recreation,3,existing,Recreation and Open Space,1.0,2792.0
Oakwood Park,-27.6874,153.109228,polygon centroid,,,,,5,WATERFORD WEST,Local,Other,1,future,Recreation and Open Space,2.0,6210.0
Oates Park,-27.635404586792,153.096969604492,directory point,"Oates Avenue, Woodridge",Woodridge,"bbq_electric,playground,toilets,basketball,cricket_practice_net,skate_facilities,picnic_area",269.0,2,WOODRIDGE,District,Sport,3,existing,Recreation and Open Space,1.0,21318.0
Olivers Sports Complex,-27.7083168029785,153.225646972656,directory point,"Logan Street, Eagleby",Eagleby,"bbq_electric,playground,toilets,fitness_equipment,basketball,picnic_area",270.0,12,EAGLEBY,Metropolitan,Sport,1,existing,Recreation and Open Space,2.0,153311.0
Oppermann Park,-27.6805171966553,153.14616394043,directory point,"117 Federation Drive, Bethania",Bethania,playground,271.0,6,BETHANIA,District,Sport,2,existing,Recreation and Open Space,1.0,50962.0
Orlando Park,-27.7216110229492,153.171890258789,directory point,"11-23 Orlando Drive, Holmview",Holmview,"playground,fitness_equipment,basketball,picnic_area",272.0,6,HOLMVIEW,Local,Recreation,1,existing,Recreation and Open Space,3.0,27964.0
Outlook Drive Park,-27.7064228057861,153.15705871582,directory point,"20-40 Outlook Drive, Waterford",Waterford,"basketball,picnic_area",273.0,4,WATERFORD,Local,Recreation,1,existing,Recreation and Open Space,1.0,12666.0
Outlook Park,-27.6840515136719,153.116790771484,directory point,"Wunburra Street, Waterford West",Waterford West,"bbq_electric,picnic_area",274.0,5,WATERFORD WEST,Local,Recreation,3,existing,Recreation and Open Space,1.0,2972.0
Overton Park,-27.6841487884521,153.089447021484,directory point,"Overton Court, Crestmead",Crestmead,playground,275.0,5,CRESTMEAD,Local,Recreation,3,existing,Recreation and Open Space,1.0,3773.0
Packett Park,-27.678689956665,153.134368896484,directory point,"Packett Crescent, Loganlea",Loganlea,"playground,basketball,picnic_area",276.0,6,LOGANLEA,Local,Recreation,2,existing,Recreation and Open Space,1.0,8906.0
Paradise Park,-27.6653423309326,153.001159667969,directory point,"Paradise Road, Forestdale",Forestdale,"playground,fitness_equipment,walking_track,bbq_wood,picnic_area",277.0,7,FORESTDALE,Landscape Amenit,Natural Areas,0,existing,Multiple Zones,2.0,95640.0
Pardoo Park,-27.6472454071045,153.189575195313,directory point,"Kimberley Drive, Shailer Park",Shailer Park,picnic_area,278.0,3,SHAILER PARK,Landscape Amenit,Natural Areas,0,existing,Recreation and Open Space,9.0,12184.0
Parfrey Road Park,-27.5985260009766,153.132827758789,directory point,"Parfrey Road, Rochedale South",Rochedale South,"playground,picnic_area",279.0,1,ROCHEDALE SOUTH,Local,Recreation,3,existing,,3.0,2385.0
Park Ridge District Park,-27.7039318084717,153.076995849609,directory point,"Clarke Road, Park Ridge",Park Ridge,"bbq_wood,picnic_area",280.0,8,PARK RIDGE,Local,Recreation,2,existing,Recreation and Open Space,1.0,19983.0
Parkdale Park,-27.6236381530762,153.105880737305,directory point,"Parkdale Street, Woodridge",Woodridge,"playground,bbq_wood,picnic_area",281.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,1.0,8886.0
Parkway Park,-27.6408863067627,153.151123046875,directory point,"14-18 Parkway Road, Daisy Hill",Daisy Hill,"playground,fitness_equipment,basketball,picnic_area",282.0,3,DAISY HILL,Local,Recreation,2,existing,Recreation and Open Space,3.0,14056.0
Passerine Park,-27.6057815551758,153.137939453125,directory point,"Underwood Road, Rochedale South",Rochedale South,"playground,fitness_equipment,basketball",283.0,1,SPRINGWOOD,Ecologically Sig,Natural Areas,2,existing,Recreation and Open Space,6.0,146338.0
Pauline Park,-27.6768398284912,153.107635498047,directory point,"Pauline Street, Marsden",Marsden,"playground,basketball,skate_facilities,picnic_area",284.0,5,MARSDEN,Local,Recreation,1,existing,Recreation and Open Space,1.0,8614.0
Pauline Towler Park,-27.674015045166,153.007247924805,directory point,"45 Archery Street, Forestdale",Forestdale,"playground,basketball,bbq_wood,picnic_area",285.0,7,FORESTDALE,Ecologically Sig,Natural Areas,3,existing,Environmental Management and Conservation,2.0,105954.0
Pebble Creek Parklands,-27.791479,152.96736,polygon centroid,,,,,11,SOUTH MACLEAN,District,Recreation,0,existing,Priority Development Area,8.0,263249.0
Pepperina Park,-27.7745,153.082317,polygon centroid,,,,,9,STOCKLEIGH,Local,Recreation,0,existing,Recreation and Open Space,1.0,27746.0
Peppertree Park,-27.865439,153.0518,polygon centroid,,,,,9,JIMBOOMBA,Landscape Amenit,Natural Areas,,existing,Park Residential,3.0,131687.0
Pescara Park,-27.6758098602295,153.09504699707,directory point,"4-8 Kikori Street, Marsden",Marsden,"playground,picnic_area",287.0,5,MARSDEN,Local,Recreation,3,existing,Recreation and Open Space,1.0,5657.0
Peters Park,-27.6624183654785,153.182342529297,directory point,"Turill Street, Shailer Park",Shailer Park,playground,288.0,10,SHAILER PARK,Local,Recreation,4,existing,Recreation and Open Space,1.0,2557.0
Petringa Park,-27.6340160369873,153.145523071289,directory point,"Petringa Crescent, Springwood",Springwood,picnic_area,289.0,1,SPRINGWOOD,Minor,Recreation,4,existing,Recreation and Open Space,1.0,2179.0
Pinnington Park,-27.6875953674316,153.08415222168,directory point,"Augusta Street, Crestmead",Crestmead,"playground,picnic_area",290.0,8,CRESTMEAD,Local,Recreation,1,existing,Recreation and Open Space,2.0,9257.0
Pioneer Park,-27.9008178710938,152.973175048828,directory point,"6106 Mt Lindesay Hwy, Woodhill",Woodhill,"toilets,bbq_wood,picnic_area",291.0,9,WOODHILL,District,Sport,4,existing,Recreation and Open Space,2.0,73738.0
Plateau Park,-27.621208190918,153.141220092773,directory point,"Plateau Drive, Springwood",Springwood,picnic_area,292.0,1,SPRINGWOOD,Local,Recreation,3,existing,Multiple Zones,3.0,5984.0
Plunkett Park,-27.6269435882568,153.102035522461,directory point,"Plunkett Street, Woodridge",Woodridge,"playground,picnic_area",293.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,1.0,3993.0
Ponderosa Park,-27.6665534973145,153.031066894531,directory point,"8-18 Ponderosa Street, Hillcrest",Hillcrest,"bbq_electric,playground,basketball,picnic_area",294.0,7,HILLCREST,Local,Recreation,2,existing,Recreation and Open Space,2.0,24523.0
Porter Park,-27.6520195007324,153.155517578125,directory point,"Springlands Drive, Slacks Creek",Slacks Creek,"playground,basketball,picnic_area",295.0,3,SLACKS CREEK,Local,Recreation,2,existing,Recreation and Open Space,1.0,1936.0
Powell Park,-27.6891479492188,153.066619873047,directory point,"Powell Street, Heritage Park",Heritage Park,"playground,basketball,picnic_area",296.0,8,HERITAGE PARK,Landscape Amenit,Natural Areas,3,existing,Recreation and Open Space,7.0,165263.0
Priestdale Park,-27.5887622833252,153.130859375,directory point,"Priestdale Road, Rochedale South",Rochedale South,dog_off-leash_area,297.0,1,ROCHEDALE SOUTH,Local,Recreation,3,existing,Recreation and Open Space,1.0,5441.0
Punter Park,-27.6965217590332,153.028625488281,directory point,"Punter Street,Greenbank","Punter Street,Greenbank",playground,298.0,11,GREENBANK,Ecologically Sig,Natural Areas,0,existing,Recreation and Open Space,3.0,58634.0
Quinton Court Park,-27.7282943725586,153.204040527344,directory point,"Quinton Court, Mount Warren Park",Mount Warren Park,playground,299.0,12,MOUNT WARREN PARK,Minor,Recreation,4,existing,,1.0,846.0
Quinzeh Creek Park,-27.7806167602539,153.126007080078,directory point,"Quinzeh Creek Road, Logan Village",Logan Village,"bbq_wood,picnic_area",300.0,4,LOGAN VILLAGE,Ecologically Sig,Natural Areas,0,existing,Environmental Management and Conservation,1.0,376737.0
Rainbow Park,-27.6361904144287,153.108520507813,directory point,"Ewing Road, Woodridge",Woodridge,"playground,picnic_area",301.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,8.0,2030.0
Ranchwood Park,-27.6575813293457,153.045913696289,directory point,"Ranchwood Avenue, Browns Plains",Browns Plains,"playground,picnic_area",302.0,7,BROWNS PLAINS,Local,Recreation,2,existing,Recreation and Open Space,2.0,4171.0
Ray Hackwood Park,-27.7051830291748,153.204605102539,directory point,"47 Saverin Road, Eagleby",Eagleby,"bbq_electric,playground,fitness_equipment,basketball,picnic_area",303.0,12,EAGLEBY,Local,Recreation,2,existing,Recreation and Open Space,3.0,11175.0
Red Ash Reserve,-27.8030834197998,152.963577270508,directory point,"25 Red Ash Court, Jimboomba",Jimboomba,"bmx,picnic_area",304.0,11,FLAGSTONE,Ecologically Sig,Natural Areas,0,existing,Environmental Management and Conservation,7.0,166901.0
Redgum Park,-27.6783866882324,153.049743652344,directory point,"Redgum Drive, Regents Park",Regents Park,playground,305.0,8,REGENTS PARK,Local,Recreation,2,existing,Recreation and Open Space,2.0,11105.0
